carat,cut,color,clarity,depth,table,price,x,y,z,volume,cut_rk,color_rk,clarity_rk
1.06,Very Good,F,IF,60.6,56.0,9433,6.62,6.69,4.03,178.48,3,3,1
0.3,Premium,F,IF,61.6,58.0,846,4.3,4.34,2.66,49.64,2,3,1
0.5,Ideal,F,IF,61.2,57.0,2419,5.11,5.15,3.14,82.63,1,3,1
1.01,Very Good,F,IF,63.5,59.0,9972,6.29,6.41,4.03,162.49,3,3,1
0.52,Ideal,F,IF,61.5,57.0,2749,5.15,5.19,3.18,85.0,1,3,1
0.37,Ideal,H,IF,61.7,53.0,936,4.66,4.68,2.88,62.81,1,5,1
1.2,Very Good,I,IF,59.1,61.0,7141,6.91,6.99,4.11,198.52,3,6,1
1.04,Very Good,F,IF,63.0,55.0,10264,6.36,6.53,4.06,168.62,3,3,1
0.26,Good,E,IF,59.6,61.0,597,4.13,4.16,2.47,42.44,4,2,1
0.32,Ideal,I,IF,62.2,57.0,864,4.37,4.35,2.71,51.52,1,6,1
0.71,Ideal,H,IF,63.0,57.0,3354,5.68,5.72,3.59,116.64,1,5,1
0.3,Ideal,H,IF,61.5,56.0,1013,4.34,4.31,2.66,49.76,1,5,1
1.0,Very Good,F,IF,60.1,57.0,10346,6.45,6.52,3.9,164.01,3,3,1
0.35,Ideal,H,IF,60.8,56.0,1017,4.61,4.6,2.8,59.38,1,5,1
0.3,Ideal,H,IF,62.1,55.0,1013,4.3,4.27,2.66,48.84,1,5,1
0.3,Ideal,H,IF,61.8,55.0,1013,4.31,4.3,2.66,49.3,1,5,1
1.2,Ideal,I,IF,61.5,56.0,7367,6.79,6.84,4.19,194.6,1,6,1
0.92,Ideal,H,IF,62.5,55.0,5758,6.25,6.3,3.92,154.35,1,5,1
0.38,Good,E,IF,59.1,58.0,1318,4.74,4.77,2.81,63.53,4,2,1
0.31,Good,E,IF,57.7,55.0,912,4.51,4.6,2.63,54.56,4,2,1
0.3,Ideal,H,IF,60.8,56.0,1013,4.37,4.35,2.65,50.38,1,5,1
0.35,Ideal,G,IF,61.8,55.0,1044,4.54,4.56,2.81,58.17,1,4,1
0.71,Ideal,H,IF,61.2,56.0,3146,5.74,5.79,3.53,117.32,1,5,1
0.33,Premium,G,IF,60.8,58.0,984,4.42,4.46,2.7,53.23,2,4,1
1.01,Very Good,F,IF,59.6,62.0,9965,6.47,6.56,3.88,164.68,3,3,1
0.42,Ideal,H,IF,61.7,55.0,1273,4.84,4.82,2.98,69.52,1,5,1
0.37,Ideal,H,IF,61.4,55.0,936,4.63,4.66,2.85,61.49,1,5,1
0.35,Premium,G,IF,60.6,60.0,1044,4.54,4.57,2.76,57.26,2,4,1
0.3,Ideal,G,IF,62.4,55.0,1025,4.32,4.3,2.69,49.97,1,4,1
0.43,Premium,I,IF,61.2,58.0,1129,4.88,4.83,2.97,70.0,2,6,1
0.34,Very Good,F,IF,61.1,54.0,999,4.54,4.56,2.78,57.55,3,3,1
0.36,Ideal,G,IF,61.9,55.0,1029,4.56,4.59,2.83,59.23,1,4,1
0.31,Ideal,G,IF,62.0,54.0,1028,4.39,4.35,2.71,51.75,1,4,1
1.25,Ideal,G,IF,60.6,57.0,11705,6.97,6.99,4.23,206.09,1,4,1
0.35,Ideal,H,IF,60.7,56.0,1017,4.62,4.61,2.8,59.63,1,5,1
0.51,Ideal,G,IF,62.4,54.0,2096,5.12,5.17,3.21,84.97,1,4,1
0.73,Ideal,H,IF,61.6,55.0,3378,5.8,5.82,3.58,120.85,1,5,1
0.71,Ideal,H,IF,62.0,54.0,3190,5.71,5.75,3.55,116.56,1,5,1
0.36,Ideal,G,IF,62.2,53.0,1029,4.59,4.61,2.86,60.52,1,4,1
0.29,Ideal,G,IF,61.3,55.0,673,4.25,4.28,2.61,47.48,1,4,1
0.29,Ideal,G,IF,62.0,56.0,673,4.23,4.27,2.63,47.5,1,4,1
0.51,Ideal,H,IF,59.6,59.0,2063,5.2,5.24,3.11,84.74,1,5,1
0.57,Ideal,H,IF,62.2,56.0,2195,5.3,5.33,3.3,93.22,1,5,1
1.01,Premium,F,IF,62.3,57.0,9627,6.5,6.35,4.0,165.1,2,3,1
0.63,Good,H,IF,59.3,62.0,2404,5.66,5.7,3.37,108.72,4,5,1
0.35,Ideal,H,IF,61.5,57.0,868,4.55,4.58,2.8,58.35,1,5,1
1.04,Ideal,F,IF,61.8,55.0,10787,6.49,6.56,4.03,171.57,1,3,1
0.4,Ideal,J,IF,62.6,56.0,828,4.71,4.75,2.96,66.22,1,7,1
0.44,Good,G,IF,58.5,61.0,1407,4.99,5.03,2.93,73.54,4,4,1
0.79,Ideal,H,IF,61.3,56.0,4046,5.96,5.98,3.66,130.45,1,5,1
0.33,Ideal,E,IF,61.9,57.0,1129,4.41,4.45,2.74,53.77,1,2,1
0.4,Ideal,J,IF,62.4,56.0,828,4.71,4.74,2.95,65.86,1,7,1
0.3,Very Good,G,IF,58.4,62.0,835,4.4,4.43,2.58,50.29,3,4,1
0.51,Very Good,G,IF,59.3,57.0,2084,5.25,5.31,3.13,87.26,3,4,1
0.34,Ideal,E,IF,61.7,56.0,1243,4.48,4.46,2.76,55.15,1,2,1
0.35,Ideal,I,IF,62.7,55.0,778,4.51,4.55,2.84,58.28,1,6,1
0.66,Very Good,G,IF,60.5,59.0,3051,5.69,5.74,3.46,113.01,3,4,1
