carat,cut,color,clarity,depth,table,price,x,y,z,volume,price_per_carat
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,143.71632,3205.81
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,113.1165,3938.57
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,115.865184,3885.92
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,126.43721999999998,3537.18
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,116.66069999999999,3941.43
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,111.82464,3941.43
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,151.837455,2873.96
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,118.728136,3780.82
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,129.571686,3450.0
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,121.7275,3680.0
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,128.0208,3680.0
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,121.80869999999999,3729.73
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,121.59868499999999,3680.0
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,129.70821600000002,3450.0
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,123.58698,3680.0
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,126.48950999999998,3450.0
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,121.02055699999998,3731.08
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,135.05544,3408.64
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,97.86488999999999,4679.66
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,131.23919999999998,3451.25
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,122.61664,3731.08
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,145.89590400000003,3067.78
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,119.72147400000001,3732.43
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,119.23128,3783.56
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,120.727,3783.56
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,130.71801600000003,3452.5
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,117.95097599999998,3890.14
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,115.18675200000001,3945.71
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,132.060134,3452.5
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,116.06917200000001,3890.14
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,122.40668000000001,3732.43
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,109.79218800000001,3945.71
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,110.27151800000001,3945.71
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,114.980364,3945.71
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,109.27891,3945.71
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,134.52201,3036.26
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,103.00233599999999,4529.51
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,146.234907,3036.26
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,142.672815,3036.26
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,125.636056,3588.31
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,115.32672,3892.96
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,114.89020399999998,3892.96
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,112.08809000000001,3950.0
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,125.23812,3590.91
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,103.24331999999998,4388.89
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,114.59450799999999,3894.37
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,115.09106100000001,3894.37
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,125.45038799999999,3638.16
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,105.46152400000001,4321.88
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,116.65485,3895.77
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,119.77314999999997,3895.77
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,114.36339199999999,3952.86
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,119.161,3952.86
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,117.04089599999999,3897.18
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,111.13550000000001,3952.86
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,109.004544,3898.59
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,120.46179199999999,3791.78
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,112.86266400000001,3954.29
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,115.51680000000002,3954.29
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,113.638707,3898.59
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,121.755564,3741.89
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,111.57168000000001,3901.41
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,119.547648,3794.52
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,122.78563499999998,3644.74
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,121.98458800000002,3644.74
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,117.46565999999997,3901.41
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,121.28007000000001,3794.52
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,118.18837499999998,3794.52
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,123.435552,3794.52
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,121.278896,3794.52
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,118.89177299999997,3848.61
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,120.638124,3795.89
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,117.701076,3902.82
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,130.060032,3507.59
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,121.55899799999999,3797.26
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,133.00190099999998,3465.0
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,97.640928,4779.31
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,94.45293,4779.31
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,117.99983999999999,3904.23
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,124.04339999999999,3697.33
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,114.678668,3961.43
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,194.63451,2370.94
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,98.59184,4623.33
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,116.71945600000001,3962.86
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,130.36842,3342.17
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,120.92304,3750.0
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,115.439858,3855.56
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,116.71945600000001,3909.86
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,115.51629,3909.86
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,89.64269999999999,5140.74
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,89.026552,5140.74
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,116.7595,3855.56
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,118.953234,3855.56
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,117.53584000000001,3855.56
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,116.928,3909.86
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,115.781526,3967.14
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,114.08607,3911.27
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,114.246096,3911.27
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,113.589036,3911.27
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,117.7522,3911.27
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,114.08607,3967.14
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,111.749268,3967.14
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,115.19205,3967.14
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,113.58693600000001,3967.14
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,113.004234,3967.14
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,113.261472,3967.14
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,116.04621599999999,3967.14
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,115.56864,3967.14
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,118.306632,3856.94
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,112.61376000000001,3967.14
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,113.19047200000001,3967.14
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,115.25690399999999,3967.14
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,113.49935999999998,3967.14
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,147.36347999999998,2833.67
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,122.74481999999999,3560.26
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,108.30455999999998,3967.14
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,86.422842,5342.31
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,120.66023999999999,3806.85
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,121.60047999999999,3755.41
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,113.47347000000002,3971.43
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,126.65294000000002,3610.39
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,115.01318399999998,3915.49
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,122.22729399999999,3756.76
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,112.787028,3971.43
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,160.123176,2753.47
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,124.78065600000001,3611.69
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,129.077312,3565.38
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,117.86860799999998,3863.89
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,88.32146399999999,5249.06
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,127.21698000000002,3660.53
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,110.963447,3974.29
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,109.283148,3974.29
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,120.22342200000001,3709.33
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,115.91999999999999,3863.89
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,116.72124600000001,3863.89
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,114.44972800000001,3974.29
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,137.47446000000002,3311.9
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,123.83279999999999,3709.33
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,85.46689199999999,5351.92
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,117.37332000000002,3866.67
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,129.87,3524.05
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,116.26149400000001,3870.83
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,83.68647000000001,5464.71
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,104.84727000000001,4354.69
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,115.25690399999999,3982.86
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,137.74044,3359.04
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,124.30899000000001,3668.42
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,114.686016,3926.76
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,124.75867199999999,3620.78
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,114.52832500000001,3926.76
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,157.415427,2760.4
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,154.245426,2760.4
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,124.708164,3622.08
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,124.6752,3669.74
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,125.889984,3669.74
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,123.11977200000001,3669.74
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,171.209445,2656.19
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,132.396093,3443.21
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,116.1017,3984.29
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,90.10848000000001,5070.91
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,129.51338400000003,3443.21
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,100.20618400000001,4426.98
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,103.24331999999998,4426.98
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,125.23812,3622.08
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,167.99712599999998,2656.19
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,105.414012,4359.38
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,125.09639999999999,3671.05
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,136.94296,3361.45
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,114.59450799999999,3929.58
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,115.09106100000001,3929.58
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,143.29449,3208.05
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,118.774376,3823.29
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,118.206748,3932.39
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,116.0235,3932.39
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,116.17548799999999,3932.39
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,113.88309500000001,3988.57
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,116.32249999999999,3988.57
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,121.560426,3673.68
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,115.53971999999999,3988.57
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,132.27161999999998,3535.44
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,114.97327800000001,3990.0
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,114.42255999999999,3990.0
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,125.23703700000002,3675.0
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,118.60991999999999,3826.03
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,128.83327200000002,3536.71
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,119.364126,3936.62
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,126.06266400000001,3450.62
0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,131.25350400000002,3450.62
0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,114.258144,3881.94
0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,115.41709800000001,3881.94
0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,117.3744,3881.94
0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,135.02489699999998,3450.62
0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,115.90071000000002,3881.94
1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,165.82176500000003,2795.0
